ivmeX,ivmeY,ivmeZ,tmp,GyroX,GyroY,GyroZ,A0,A1,A2,ivmeX2,ivmeY2,ivmeZ2,tmp2,GyroX2,GyroY2,GyroZ2,A02,A12,A22
2508,-10332,14796,28.77,11687,1635,-6884,0,268,859,-5644,4060,2584,27.87,-2649,-5083,-2132,349,357,47
3632,-8372,12892,28.86,878,1373,502,0,723,913,-2804,6768,15100,27.87,-144,-11138,5053,382,359,729
3204,-8508,13576,28.72,-2130,3393,2345,0,745,932,-3132,5760,15208,27.87,1475,-1111,87,835,511,809
868,-8624,12736,28.77,-1135,-132,-551,0,641,927,-3312,6972,14708,27.87,-1634,696,-754,858,590,828
4076,-6512,20352,28.77,-30611,-2379,4775,0,487,917,-3192,5576,14944,27.92,-2770,-296,-115,838,542,785
4452,-8552,-628,28.81,-267,-5975,793,0,438,553,-5788,7596,17992,27.92,4387,10906,-882,382,407,691
6576,-17716,5348,28.86,16480,6477,-7525,0,299,633,-4068,5404,8536,27.82,2507,-2662,13802,342,349,91
4228,-11428,12944,28.77,10825,-1630,-5713,0,551,923,-1916,7956,14672,27.92,-2703,-11869,4312,326,337,547
3416,-8828,12956,28.81,745,-1272,-955,0,812,967,-5508,5964,12604,27.87,426,-776,340,715,439,807
4428,-8712,13012,28.81,-2309,3199,2163,0,822,972,-3248,6864,15004,27.82,703,-133,-5,832,467,833
3080,-7796,14460,28.77,-4068,-3062,1559,0,591,963,-3288,5844,14216,27.87,-3043,1030,-462,836,489,838
1836,-14840,8624,28.81,-20895,-8701,6259,0,462,884,-3940,5128,15212,27.87,1993,428,-109,720,446,836
2136,-5544,1104,28.86,4372,-829,-1849,0,370,531,-7444,5352,14076,27.92,7871,10028,-6218,316,376,632
3304,-2276,18760,28.86,21534,7224,-10107,0,285,852,-5640,3356,6084,27.87,-3110,-1551,2524,327,337,89
2840,-9708,12288,28.86,596,1802,952,0,744,920,-10608,7092,13724,27.92,-1693,-11957,5318,535,323,645
3660,-8572,13356,28.77,-611,435,159,0,798,959,-2940,5384,15364,27.97,-461,-92,455,866,453,743
3096,-8560,13012,28.72,-1448,2505,1324,0,775,955,-4076,5836,15040,27.92,-1525,-110,-723,883,517,801
3916,-7812,18112,28.67,-12862,-2464,2724,0,522,940,-3320,3696,14712,27.92,-2834,452,-675,851,471,799
-192,-15068,2252,28.81,-9934,-6815,3313,0,439,715,-2756,4372,16864,27.87,4541,4608,-352,618,429,802
2440,-20456,6464,28.86,17504,-2425,-3005,0,291,608,-8632,5980,11776,27.92,3358,-831,-4154,313,348,229
5420,-9572,13284,28.81,16623,4800,-9774,0,254,909,-6816,-1636,11200,27.92,-4047,3270,-10989,324,322,43
22016,-16127,22528,28.81,1808,15,230,0,764,939,-5204,17160,24636,27.92,-10070,-5798,539,650,344,714
3788,-8704,13164,28.72,-1442,3820,1968,0,774,940,-2232,10724,15376,27.87,3494,-947,170,799,438,819
808,-8144,13240,28.95,-387,-441,-612,0,685,915,-3212,6136,14556,27.87,-456,908,-265,785,477,844
3976,-6752,19340,28.86,-27931,-5925,5897,0,464,922,-2888,5128,14848,27.92,-83,-51,-19,683,486,844
-1616,-11588,1008,28.81,-1278,-3636,1165,0,427,604,-6752,8260,16488,27.82,5736,16499,-3188,352,399,746
-2624,-3636,1165,28.81,-2624,-3636,1165,0,310,540,-3700,3872,6324,27.97,-1183,-2411,4661,297,342,95
-2624,-3636,1165,28.81,-2624,-3636,1165,0,635,893,-6544,4416,14568,27.92,-3404,-11930,3686,242,312,606
-2624,-3636,1165,28.81,-2624,-3636,1165,0,835,952,-5148,7540,13660,27.87,-82,-1718,198,817,454,759
-2624,-3636,1165,28.81,-2624,-3636,1165,0,832,946,-3240,5816,14756,27.92,188,104,-58,891,549,822
-2624,-3636,1165,28.81,-2624,-3636,1165,0,766,915,-3456,6400,14464,27.87,-2727,887,-247,886,555,825
-2624,-3636,1165,28.81,-2624,-3636,1165,0,460,866,-1632,3764,15432,27.97,-264,629,-336,796,506,797
-2624,-3636,1165,28.81,-2624,-3636,1165,0,397,514,-6220,7512,13944,27.87,5373,10068,-259,320,414,495
-2624,-3636,1165,28.81,-2624,-3636,1165,0,297,818,-4852,3376,5916,27.92,-1915,-517,-1758,341,323,61
-2624,-3636,1165,28.81,-2624,-3636,1165,0,813,935,-7300,3660,14804,27.87,-531,-10726,5105,512,316,668
-2624,-3636,1165,28.81,-2624,-3636,1165,0,854,961,-2256,8340,14828,27.82,1602,-860,261,894,568,772
-2624,-3636,1165,28.81,-2624,-3636,1165,0,831,955,-3484,7416,14492,27.87,-869,616,-383,906,635,812
-6424,7680,-256,28.86,-12892,-5983,380,0,684,933,-3004,5440,14716,27.82,-2475,328,-48,870,595,811
864,-16760,7164,28.86,-4878,-3777,430,0,458,627,-4236,8232,18688,27.92,9098,12920,-4054,405,509,791
1288,-3384,2628,28.77,-253,8445,3900,0,383,494,-5916,3540,7504,27.82,-864,-5227,-1056,346,332,114
-2640,8445,3900,28.77,-2640,8445,3900,0,486,903,3016,8220,13244,27.82,-5389,-10016,6406,315,307,234
-2640,8445,3900,28.77,-2640,8445,3900,0,854,958,-5684,5760,12252,27.82,3192,96,-674,844,561,666
-2640,8445,3900,28.77,-2640,8445,3900,0,891,973,-3640,6732,14872,27.92,-536,-82,-130,910,650,767
-2640,8445,3900,28.77,-2640,8445,3900,0,870,955,-3492,5908,14420,27.78,-3094,770,-354,910,686,773
-2640,8445,3900,28.77,-2640,8445,3900,2,659,906,-2240,4404,15680,27.82,471,732,-407,829,600,730
-2640,8445,3900,28.77,-2640,8445,3900,0,477,547,-7300,7336,14008,27.78,6148,12522,-3461,351,449,443
-2640,8445,3900,28.77,-2640,8445,3900,0,381,546,-4488,3060,6552,27.82,-1280,-4217,4174,349,346,36
-2640,8445,3900,28.77,-2640,8445,3900,0,676,834,-3144,3252,15552,28.01,-1800,-9411,4389,305,342,682
-2640,8445,3900,28.77,-2640,8445,3900,0,818,935,-4408,6092,14136,27.82,-1184,-888,194,814,504,796
-2640,8445,3900,28.77,-2640,8445,3900,0,856,956,-3584,7584,14904,27.92,467,-66,-72,889,574,826
-2640,8445,3900,28.77,-2640,8445,3900,0,799,953,-3308,5412,14448,27.82,-2319,746,-705,880,590,829
-2640,8445,3900,28.77,-2640,8445,3900,0,503,929,-2056,5060,15308,27.82,564,-202,261,822,563,801
